subject_id,score,timeline,note_drop,rolling,note_update,accident (0/1/2),explicit,character,simultaneous,avoidance,fact_theory (0/1/2),generation,means_motive (0/1/2),reflection,final_confidence,broad,partial_evi,partial_id,complete,confidence(0/1/2)
1,0,1,0,1,1,1,1,0,1,0,0,1,1,NA,35,0,1,1,0,0
2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,70,0,0,0,1,1
3,1,0,0,1,1,0,0,1,0,0,0,1,1,1,30,0,0,0,1,1
4,4,0,0,0,1,0,0,0,0,1,0,1,1,0,30,1,1,0,1,2
5,0,0,1,1,0,0,0,1,1,0,2,0,0,1,70,0,1,0,0,NA
6,6,1,0,1,1,1,1,0,1,0,0,1,0,NA,50,0,1,1,1,2
7,4,1,1,1,0,0,0,1,1,1,1,1,1,0,75,0,1,0,1,2
8,0,0,1,1,0,0,1,0,0,0,0,0,1,1,75,0,1,0,0,NA
9,6,0,1,1,0,2,0,0,1,0,1,1,0,NA,80,0,1,0,1,2
10,1,1,0,0,1,1,1,1,1,1,1,1,2,1,80,1,1,1,0,2
11,2,0,0,1,1,1,1,1,1,0,2,0,1,NA,35,1,0,1,0,1
12,4,0,0,1,1,2,1,0,1,0,0,1,1,NA,90,1,1,1,1,2
13,4,0,0,0,1,2,0,1,1,1,1,1,1,NA,75,0,0,1,1,1
14,-1,0,1,1,0,1,1,0,0,0,0,0,1,0,100,0,0,1,0,2
15,-1,0,1,1,0,1,1,1,1,0,2,1,1,0,43,0,0,0,1,1
16,0,0,1,1,0,1,1,1,1,0,1,1,1,0,33,0,1,1,1,1
17,1,0,0,1,1,0,0,0,1,0,0,1,1,1,50,0,1,0,1,1
18,5,0,0,0,1,2,0,0,1,0,0,1,1,NA,50,1,1,0,1,1
19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,50,1,0,1,0,NA
20,1,0,0,1,1,0,0,0,1,0,0,1,0,1,NA,0,1,1,1,1
21,0,0,1,1,0,1,0,1,0,0,0,0,1,1,50,0,1,1,0,1
22,0,0,0,1,0,1,0,1,0,1,2,0,2,0,NA,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,
,1.95,,,,,,,,,,,,,,,,,,,
