(ref),subject_id,time,minutes,wordcount,score,correct,max_early_theory,identity,uncertainty,cognition,familiarity
j,1,3751.963,62.53271667,585,0,0,30,Victor,85,69,1
n,2,7399.795,123.3299167,659,2,0,35,Nathan,91,51,1
a,3,3657.318,60.9553,445,1,0,30,Melissa,63,69,1
c,4,3854.351,64.23918333,438,4,0,0,NA,75,60,1
g,5,1916.302,31.93836667,124,0,0,0,NA,61,68,1
d,6,4497.808,74.96346667,953,6,1,60,Melissa,66,72,1
e,7,5084.839,84.74731667,716,4,0,0,Frances,82,69,1
a,8,3547.26,59.121,353,0,0,0,NA,61,70,3
mb,9,,60,316,6,1,0,NA,32,82,2
sg,10,6115.667,101.9277833,327,1,0,60,Nathan,52,78,2
n,11,1893.606,31.5601,400,2,0,0,NA,88,47,2
d,12,3550.126,59.16876667,506,4,0,50,Melissa,68,70,1
i,13,3547.964,59.13273333,243,4,0,40,M & F both,57,64,2
b,14,2065.26,34.421,93,-1,0,90,Nathan,30,78,2
r,15,2924.271,48.73785,187,-1,0,4.2,Everyone,46,56,1
d,16,5570.079,92.83465,214,0,0,0,NA,38,50,3
m,17,3742.176,62.3696,256,1,0,70,Nathan,60,62,3
e,18,3515.528,58.59213333,309,5,0,0,NA,89,64,1
ev,19,1534.662,25.5777,62,0,0,100,Frances,102,84,1
em,20,4090.525,68.17541667,1012,1,0,25,F & N both,85,67,2
j,21,2631.623,43.86038333,70,0,0,49,Nathan,49,69,2
c,22,2974.851,49.58085,198,0,0,70,N & F both,60,58,2
